dia,mag,err
3.888618000000029,12.974,0.006
5.951908000000081,12.562,0.006
6.934808000000054,12.606,0.006
16.919498000000054,12.973,0.006
19.93178800000006,13.129,0.006
21.904648000000034,13.151,0.006
22.91419800000002,13.206,0.006
23.95225800000011,13.201,0.006
24.771647999999992,13.118,0.006
25.74903800000001,12.65,0.006
27.82932800000011,12.593,0.006
28.859817999999986,12.617,0.006
29.92121800000003,12.639,0.006
31.92949800000005,12.687,0.006
32.833338000000104,12.714,0.006
36.82990800000001,12.890999999999998,0.006
37.88441800000006,12.955,0.006
39.905148000000025,13.083,0.006
4.392802000000003,12.693,0.006
8.380211999999958,12.63,0.006
11.406212000000027,12.702,0.006
14.347142000000119,12.829,0.006
16.363672000000108,12.939,0.006
18.37209200000011,13.06,0.006
23.374602000000024,13.199000000000002,0.006
25.3893420000001,12.856,0.006
30.346052000000032,12.636,0.006
33.341322000000034,12.72,0.006
8.872256000000114,12.644,0.006
9.814726000000073,12.665,0.006
16.762116,12.963,0.006
18.75877600000002,13.084,0.006
19.70483600000012,13.121,0.006
20.76425600000005,13.139,0.006
21.828786000000047,13.149,0.006
23.65384600000005,13.203,0.006
24.77674600000001,13.107,0.006
25.709536000000075,12.667,0.006
26.762565999999996,12.527,0.006
27.729745999999984,12.584,0.006
28.69854600000009,12.617,0.006
29.680086000000077,12.633,0.006
30.807706000000056,12.649,0.006
31.67872599999999,12.67,0.006
32.79913599999998,12.701,0.006
34.71122600000002,12.784,0.006
36.658946000000135,12.88,0.006
37.684036,12.942,0.006
0.2303500000000156,13.140999999999998,0.006
4.267789999999962,12.762,0.006
5.25241000000014,12.513,0.006
6.159760000000091,12.57,0.006
7.218030000000083,12.612,0.006
8.171890000000047,12.625,0.006
9.24778999999998,12.649,0.006
10.18896000000015,12.67,0.006
15.05667000000014,12.861,0.006
17.112100000000027,12.991,0.006
24.223660000000077,13.205,0.006
26.092790000000008,12.544,0.006
26.19298000000001,12.527,0.006
30.116460000000163,12.642,0.006
35.12314000000001,12.800999999999998,0.006
37.16145000000003,12.915,0.006
40.18506000000011,13.1,0.006
42.07858000000007,13.149,0.006
2.5972240000001463,13.21,0.006
5.574884000000046,12.541,0.006
25.590154000000034,12.723,0.006
29.494454000000072,12.634,0.006
35.55637400000017,12.816,0.006
40.51860400000003,13.111,0.006
15.95183800000008,12.919,0.006
21.316585999999973,13.142,0.006
9.767440000000214,12.663,0.006
16.71025999999997,12.974,0.006
17.754500000000142,13.036,0.006
18.70388000000016,13.091,0.006
20.7721300000002,13.139,0.006
21.68575999999998,13.149,0.006
23.70605000000014,13.212,0.006
26.669099999999982,12.521,0.006
27.690899999999967,12.593,0.006
28.749050000000032,12.611,0.006
29.747410000000077,12.635,0.006
39.75303000000022,13.081,0.006
2.2112940000001657,13.202,0.006
4.160994000000058,12.796,0.006
8.224444000000162,12.627,0.006
11.168673999999996,12.706,0.006
21.07041400000001,13.146,0.006
24.169164000000123,13.199000000000002,0.006
26.17383399999993,12.522,0.006
27.165684000000038,12.553,0.006
29.17875400000001,12.621,0.006
37.11607400000001,12.915,0.006
3.6859680000000665,13.042,0.006
5.557587999999959,12.525,0.006
7.5132680000002185,12.61,0.006
9.573868000000012,12.656,0.006
11.578868000000119,12.712,0.006
13.643918000000047,12.793,0.006
15.640588000000045,12.905,0.006
17.64075800000007,13.026,0.006
19.57545800000009,13.119000000000002,0.006
20.586478000000007,13.14,0.006
23.554318000000034,13.209,0.006
26.682137999999963,12.522,0.006
30.600097999999953,12.652,0.006
33.565648000000074,12.734000000000002,0.006
35.59919799999995,12.829,0.006
37.6481280000001,12.941,0.006
39.60136800000016,13.061,0.006
41.58975800000014,13.135,0.006
1.129902000000044,13.175999999999998,0.006
2.160651999999942,13.198,0.006
3.980161999999978,12.896,0.006
5.9970620000000565,12.562,0.006
12.002432000000141,12.724,0.006
13.982562000000057,12.812,0.006
16.995342000000083,12.989,0.006
20.98765199999994,13.151,0.006
23.021902000000097,13.21,0.006
24.02982200000011,13.206,0.006
24.855922000000106,13.078,0.006
25.923982000000173,12.564,0.006
26.99157200000005,12.549,0.006
28.9288320000002,12.619000000000002,0.006
30.899482000000177,12.661,0.006
32.989642000000146,12.720999999999998,0.006
33.86926200000008,12.754,0.006
35.877552000000065,12.842,0.006
36.884602,12.904000000000002,0.006
41.9742220000002,13.144,0.006
2.3506560000000647,13.204,0.006
4.334565999999988,12.699000000000002,0.006
5.436566000000077,12.52,0.006
8.336766000000116,12.628,0.006
9.410176000000083,12.652,0.006
10.353906000000043,12.675,0.006
12.322456000000095,12.742,0.006
14.456865999999984,12.837,0.006
15.424576000000107,12.899,0.006
18.379136000000237,13.075,0.006
21.33302600000001,13.145,0.006
22.366025999999913,13.181,0.006
24.397646000000115,13.181,0.006
31.374115999999947,12.675,0.006
33.37589600000023,12.729,0.006
34.39196600000013,12.767,0.006
42.31439600000021,13.146,0.006
2.7723000000001576,13.203,0.006
5.7803500000000705,12.542,0.006
14.750070000000123,12.845999999999998,0.006
