dia,mag,err
8.795378599999863,12.786,0.006
10.858658599999828,12.872,0.006
11.841538599999964,12.933,0.006
21.82622859999985,13.187,0.006
24.838548599999896,12.719,0.006
26.811388599999923,12.725,0.006
27.820938599999906,12.737,0.006
28.859028599999924,12.77,0.006
29.678408599999827,12.783,0.006
32.736058599999794,12.93,0.006
33.76655859999987,12.982,0.006
34.82792859999988,13.053,0.006
36.83622859999984,13.178,0.006
37.73347859999983,13.227,0.006
41.73669859999988,13.248,0.006
0.5556443999998635,13.225,0.006
2.576354399999872,12.785,0.006
9.588754399999829,12.821,0.006
13.576164399999895,13.043,0.006
16.60217439999994,13.235,0.006
19.543074399999877,13.261,0.006
21.559654399999857,13.244000000000002,0.006
23.568064399999887,12.782,0.006
28.570514399999837,12.745,0.006
30.585294399999924,12.809,0.006
35.54201439999983,13.091,0.006
38.53729439999992,13.262,0.006
3.363330199999851,12.739,0.006
14.357400199999931,13.075,0.006
15.299870199999885,13.139,0.006
22.24726019999993,13.068,0.006
24.219550199999862,12.755,0.006
25.1899901999998,12.727,0.006
26.24943019999991,12.725,0.006
27.313950199999923,12.727,0.006
28.131000199999924,12.743,0.006
29.139010199999813,12.762,0.006
30.261850199999927,12.793,0.006
31.19464019999988,12.827,0.006
32.24772019999979,12.879,0.006
33.21488019999994,12.93,0.006
34.183730199999914,12.983,0.006
35.1652301999999,13.045,0.006
36.29289019999989,13.132,0.006
37.16388019999978,13.186,0.006
38.28430019999986,13.228,0.006
40.196380199999815,13.259,0.006
42.14412019999988,13.269,0.006
0.9336559999998711,13.122,0.006
6.00469599999991,12.73,0.006
10.042145999999946,12.833,0.006
11.026745999999946,12.876,0.006
11.934105999999874,12.932,0.006
12.992395999999928,12.99,0.006
13.94621599999988,13.052,0.006
15.022135999999762,13.12,0.006
15.963325999999881,13.185,0.006
20.831005999999945,13.267,0.006
22.886455999999896,12.901,0.006
29.997965999999852,12.786,0.006
31.86713599999979,12.866,0.006
31.96732599999979,12.873,0.006
34.00400599999995,12.994000000000002,0.006
35.89077599999979,13.115,0.006
40.89747599999981,13.239,0.006
0.7002617999998932,13.204,0.006
3.723821799999868,12.719,0.006
5.617381799999848,12.722,0.006
8.660731799999766,12.787,0.006
11.638401799999983,12.901,0.006
31.653641799999814,12.872,0.006
35.557931799999764,13.11,0.006
41.61984179999977,13.265,0.006
4.346577599999847,12.71,0.006
22.30450759999988,13.050999999999998,0.006
28.24760919999983,12.745,0.006
16.960394999999767,13.231,0.006
22.920524999999927,12.901,0.006
24.974764999999863,12.72,0.006
25.924144999999882,12.723,0.006
27.992394999999924,12.727,0.006
28.90600499999975,12.762,0.006
30.92633499999981,12.823,0.006
33.88938499999988,12.983,0.006
34.91115499999971,13.05,0.006
35.969324999999955,13.122,0.006
36.967674999999794,13.179,0.006
4.7377907999998286,12.715,0.006
9.720760799999852,12.826,0.006
11.670480799999922,12.927,0.006
15.73392079999982,13.199000000000002,0.006
18.67816079999986,13.279000000000002,0.006
28.57991079999985,12.749,0.006
31.67865079999976,12.86,0.006
33.68332079999979,12.966,0.006
34.67518079999988,13.032,0.006
36.68824079999988,13.16,0.006
2.390016599999868,12.8,0.006
11.48466659999987,12.898,0.006
13.35628659999999,13.005999999999998,0.006
15.311976599999769,13.153,0.006
17.37255659999984,13.26,0.006
19.377536600000003,13.242,0.006
21.44261659999985,13.253,0.006
23.439256599999922,12.816,0.006
25.439446599999894,12.719,0.006
27.37415659999989,12.735,0.006
28.385156599999863,12.748,0.006
31.353006599999862,12.845999999999998,0.006
34.48083659999999,13.026,0.006
38.39880659999973,13.246,0.006
41.36435659999985,13.234000000000002,0.006
1.1623523999997474,13.066,0.006
3.2112723999997,12.732,0.006
5.1645223999997265,12.711,0.006
7.152892399999986,12.746,0.006
9.217792399999835,12.793,0.006
10.248552399999936,12.843,0.006
12.068062399999747,12.94,0.006
14.084922399999698,13.075,0.006
20.09030239999976,13.225,0.006
22.07045239999985,13.130999999999998,0.006
25.08322239999967,12.707,0.006
29.094352399999767,12.755999999999998,0.006
31.12504239999981,12.836,0.006
32.132942399999884,12.876,0.006
32.9590723999998,12.922,0.006
34.02712239999988,12.988,0.006
35.09474239999992,13.059,0.006
37.031952399999746,13.195,0.006
39.00264239999984,13.261,0.006
41.09278239999964,13.237,0.006
41.97244239999992,13.28,0.006
1.745148199999775,12.893,0.006
2.752208199999913,12.754,0.006
7.841778199999781,12.745,0.006
10.74296819999982,12.858,0.006
12.726898199999926,12.988,0.006
13.828898199999786,13.042,0.006
16.72912819999975,13.227,0.006
17.802478199999868,13.261,0.006
18.770058199999863,13.267,0.006
20.7147881999998,13.257,0.006
22.84918819999972,12.896,0.006
23.81691819999979,12.755999999999998,0.006
26.771458199999746,12.741,0.006
29.725328199999794,12.786,0.006
30.758348199999872,12.813,0.006
33.75564819999987,12.964,0.006
35.78276819999984,13.101,0.006
41.76818819999981,13.242,0.006
1.4537839999997288,12.96,0.006
8.471183999999681,12.776,0.006
11.453783999999725,12.906,0.006
14.461843999999616,13.101,0.006
23.43156399999989,12.813,0.006
29.522463999999808,12.772,0.006
33.468553999999955,12.956,0.006
38.4469639999999,13.243,0.006
41.47795399999987,13.225,0.006
6.201589799999695,12.720999999999998,0.006
9.184309799999896,12.795,0.006
11.226489799999811,12.901,0.006
22.188929799999823,13.095,0.006
38.061161399999754,13.248,0.006
40.05773139999978,13.272,0.006
42.10564139999978,13.281,0.006
1.8627971999997897,12.876,0.006
5.8389371999997755,12.724,0.006
7.793117199999727,12.763,0.006
11.766877199999811,12.932,0.006
12.85759719999973,12.999,0.006
17.779547199999882,13.265,0.006
19.77585719999965,13.242,0.006
22.761747199999803,12.932,0.006
25.72971719999973,12.722,0.006
35.74014719999977,13.107,0.006
39.83459719999982,13.262,0.006
0.5237729999997924,13.232,0.006
3.585992999999817,12.727,0.006
6.590312999999825,12.733,0.006
9.583092999999863,12.811,0.006
13.52184299999989,13.036,0.006
15.46375299999967,13.163,0.006
17.50720299999979,13.263,0.006
20.428342999999714,13.241,0.006
22.56886299999964,12.974,0.006
25.459162999999666,12.72,0.006
27.566012999999785,12.731,0.006
29.462062999999613,12.764,0.006
30.578652999999704,12.802,0.006
31.440182999999838,12.838,0.006
32.40569299999983,12.884,0.006
33.48831299999973,12.949000000000002,0.006
34.522342999999765,13.017,0.006
36.53683299999979,13.152,0.006
38.582602999999736,13.251,0.006
40.454492999999864,13.252,0.006
0.2442587999998409,13.267,0.006
2.2449487999996904,12.818,0.006
3.2450987999997665,12.742,0.006
5.2210387999998025,12.731,0.006
7.2863787999996825,12.747,0.006
8.212308799999791,12.773,0.006
9.337748799999817,12.807,0.006
11.229698799999769,12.89,0.006
18.1868187999998,13.27,0.006
21.142648799999908,13.272,0.006
22.29701879999965,13.05,0.006
24.199348799999772,12.743,0.006
26.22403879999973,12.724,0.006
27.22564879999976,12.728,0.006
28.202808799999676,12.731,0.006
31.23216879999967,12.842,0.006
32.16507879999966,12.882,0.006
33.188778799999625,12.935,0.006
34.167388799999735,12.995,0.006
35.19186879999978,13.069,0.006
36.166008799999815,13.137,0.006
40.15772879999958,13.264,0.006
1.8413045999998159,12.89,0.006
5.917984599999713,12.729,0.006
8.927674599999804,12.795,0.006
12.942054599999876,12.993,0.006
15.98236459999974,13.191,0.006
17.993154599999784,13.263,0.006
19.92764459999988,13.229,0.006
25.921694599999896,12.714,0.006
28.88554459999976,12.755999999999998,0.006
32.87878459999977,12.918,0.006
36.9447745999996,13.185,0.006
37.9116345999996,13.239,0.006
38.904784599999616,13.267,0.006
39.97123459999965,13.264,0.006
41.90283459999976,13.257,0.006
1.6242503999997382,12.93,0.006
4.580490399999718,12.729,0.006
5.5954203999997665,12.72,0.006
6.655500399999737,12.728,0.006
8.635890399999681,12.779000000000002,0.006
9.706940399999695,12.818,0.006
11.56460039999982,12.911,0.006
13.71379039999968,13.046,0.006
14.603820399999705,13.106,0.006
16.59997039999965,13.228,0.006
18.6971203999997,13.277,0.006
20.6781703999998,13.245,0.006
22.648470399999752,12.952,0.006
23.58838039999981,12.787,0.006
25.560010399999808,12.72,0.006
26.55784039999961,12.72,0.006
28.673240399999738,12.746,0.006
30.556230399999805,12.797,0.006
38.632240399999574,13.267,0.006
40.565330399999795,13.255999999999998,0.006
6.315116199999764,12.722,0.006
8.359026199999633,12.77,0.006
10.368506199999802,12.859000000000002,0.006
12.383126199999724,12.966,0.006
15.35070619999972,13.16,0.006
17.373776199999682,13.261,0.006
22.34368619999971,13.05,0.006
25.316406199999925,12.714,0.006
40.31401619999959,13.26,0.006
6.063821999999504,12.726,0.006
35.22103779999968,13.07,0.006
37.206647799999864,13.198,0.006
0.029433599999464374,13.271,0.006
8.960673599999806,12.792,0.006
14.969103599999896,13.126,0.006
30.964343599999644,12.816,0.006
37.98491359999953,13.236,0.006
41.96110359999986,13.261,0.006
6.607259399999763,12.735,0.006
13.756519399999675,13.054,0.006
28.66443939999955,12.749,0.006
34.64576939999962,13.03,0.006
38.702769399999646,13.254,0.006
0.4143551999996475,13.259,0.006
2.4566951999996154,12.794,0.006
5.4298351999996735,12.728,0.006
8.380525199999568,12.782,0.006
10.361625199999537,12.857,0.006
12.482665199999756,12.969,0.006
16.403455199999655,13.211,0.006
