dia,mag
4341.92814,13.513
4347.87968,13.459
4353.81301,13.212
4358.91131,13.420
4364.87574,13.199
4367.90019,13.481
4371.76548,13.472
4377.82183,13.435
4380.83675,13.048
4386.81248,13.114
4390.77441,13.016
4394.73053,13.145
4399.74850,13.203
4407.71153,13.401
4412.72696,13.428
4418.82034,13.440
4426.76406,13.023
4430.69145,13.128
4432.75063,13.104
4436.79056,13.159
4439.85567,13.456
4443.74370,13.486
4449.70655,13.427
4451.71628,13.118
4455.71540,13.358
4457.74584,12.966
4460.81749,13.463
4463.73578,13.051
4466.72477,13.253
4470.67224,13.380
4477.77347,13.202
4482.77725,13.241
4486.75508,13.389
4492.65022,13.082
4494.67400,13.465
4498.70652,13.030
4501.70383,13.371
4506.63791,13.310
4508.66475,13.038
4510.73072,13.414
4517.66496,13.259
4521.64549,13.357
4524.60820,13.190
4530.63419,13.437
4532.65993,13.304
4536.63219,13.366
4539.51416,13.421
4541.62332,13.378
