dia,mag,err
0.23271799999999845,16.078,0.011
2.2960079999999365,16.152,0.011
3.2789080000000226,16.057000000000002,0.011
1.1539888000000236,15.934,0.012
4.166278800000031,15.921,0.011
0.0843341999999998,16.184,0.012
1.09388419999999,15.912,0.01
2.131944199999963,16.127,0.011
2.9513342000000757,16.227,0.012
3.928724200000089,15.87,0.01
6.0090141999999656,16.227,0.012
0.9846996000000664,15.907,0.011
2.0460996000000016,16.118,0.011
4.054379600000015,15.897,0.012
4.958219600000074,16.09,0.012
2.8999849999999805,16.242,0.011
3.954495000000031,15.884,0.01
5.9752249999999885,16.247,0.012
0.8780058000000848,15.869000000000002,0.011
4.865415800000039,16.064,0.011
1.8366111999999932,16.058,0.012
4.777541199999972,16.05,0.011
0.7392665999999624,15.834,0.011
2.747686599999964,16.224,0.011
1.6953920000001066,16.049,0.01
3.7101320000000673,15.823,0.008
2.6120374000001108,16.207,0.012
5.6073074000000025,16.205,0.012
5.498563599999967,16.183,0.011
0.3862290000000384,15.902,0.01
1.2788144000000798,15.945,0.011
3.2754743999999865,16.055999999999994,0.011
4.221534399999975,15.937,0.01
5.280954400000019,16.137,0.012
0.29067980000001103,16.002,0.011
2.1157398000000187,16.131,0.012
3.238639800000091,16.084,0.011
4.1714298000000465,15.922,0.008
5.224459800000081,16.137999999999998,0.012
0.13683520000006588,16.153,0.011
1.105635200000053,15.914,0.01
2.0871752000000487,16.118,0.01
3.214795200000028,16.122,0.015
4.085815200000072,15.906,0.01
5.206225199999951,16.131,0.011
1.0635105999999857,15.906,0.01
3.011230599999989,16.226,0.012
4.036320599999967,15.894,0.01
3.0525659999999815,16.217,0.012
1.0352014000000418,15.890999999999998,0.012
2.019821399999992,16.107,0.014
2.9271713999999434,16.232,0.014
3.9854414000000498,15.880999999999998,0.011
4.939301400000012,16.082,0.011
6.01520140000006,16.245,0.012
0.901566800000003,15.882,0.011
5.769276800000105,16.214000000000002,0.015
1.7699021999999929,16.062,0.011
2.8266575999999333,16.230999999999998,0.01
4.695787600000088,16.039,0.008
4.795977600000086,16.07,0.008
2.6646530000000133,16.201,0.012
1.616528400000087,16.052,0.016
3.654838399999997,15.822,0.012
0.62364379999996,15.839,0.012
2.5171638000000405,16.195,0.012
5.560543799999998,16.198,0.011
2.4833992000001253,16.194000000000006,0.006999999999999999
4.334255399999999,15.984000000000002,0.015
2.183750800000034,16.137,0.012
2.190866199999907,16.12,0.015
1.0982915999999978,15.922,0.01
0.8918477999999306,15.861,0.01
0.4839988000000481,15.808,0.008
